oid,gps,location
10018,"(24.17303276062,120.67824554443)",台中市
10019,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,24.172979354858,120.67826843262,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
1002,"23.894722222222,120.67583333333,23.895277777778,120.67861111111,23.893055555556,120.67888888889,23.8925,120.67583333333,23.894444444444,120.67805555556,23.894444444444,120.67527777778,23.895277777778,120.6775,23.895,120.67777777778,23.893055555556,120.67722222222,23.893333333333,120.67805555556,23.8925,120.67472222222,23.892777777778,120.67527777778,23.894444444444,120.67472222222,22.617777777778,120.285,23.8925,120.68,23.893055555556,120.67777777778,23.893055555556,120.67583333333,23.893055555556,120.6775,23.893055555556,120.67527777778,23.895,120.67888888889,23.892777777778,120.67444444444,23.893333333333,120.67666666667,22.6175,120.28555555556,23.892777777778,120.67805555556,23.894444444444,120.67638888889,23.8925,120.67972222222,23.895,120.67527777778,23.894722222222,120.67472222222,23.894444444444,120.675,23.894722222222,120.67444444444,22.6175,120.28527777778,23.892777777778,120.67666666667,23.895,120.67583333333,22.616388888889,120.2875,23.8925,120.68138888889,23.8925,120.67527777778,23.893333333333,120.67694444444,22.6175,120.28583333333,23.892777777778,120.67916666667,22.617222222222,120.28611111111,23.895277777778,120.67888888889,23.894722222222,120.67888888889,22.617222222222,120.28638888889,23.895,120.67666666667,23.894722222222,120.675,23.893055555556,120.67555555556,23.895,120.67555555556,22.617777777778,120.28472222222,23.893888888889,120.67777777778,23.895,120.67861111111,22.616111111111,120.28805555556,23.894166666667,120.67611111111,23.895277777778,120.67833333333,23.892222222222,120.675,23.894166666667,120.67444444444,23.893055555556,120.67805555556,23.893055555556,120.67833333333,23.892222222222,120.68138888889,23.893055555556,120.67611111111,23.892777777778,120.67833333333,22.616111111111,120.28833333333,23.893611111111,120.67611111111,22.616666666667,120.2875,23.894444444444,120.67416666667,22.616388888889,120.28777777778,22.618055555556,120.28444444444,23.893333333333,120.67722222222,23.894166666667,120.67666666667,23.895277777778,120.67805555556,23.893333333333,120.67583333333,23.895,120.67638888889,23.892777777778,120.67472222222,23.895277777778,120.67722222222,23.8925,120.68055555556,23.895555555556,120.67805555556,23.893055555556,120.675,23.892777777778,120.67944444444,23.894166666667,120.67555555556,(23.892777777778,120.67611111111,23.893055555556,120.67666666667,22.618055555556,120.28416666667,23.893888888889,120.67611111111,23.893888888889,120.67638888889,22.617777777778,120.28444444444,23.8925,120.67444444444,23.893888888889,120.67805555556,23.894444444444,120.67611111111,23.893333333333,120.67861111111,23.894166666667,120.67861111111,23.904444444444,120.68416666667,23.895555555556,120.67833333333,23.894444444444,120.67861111111,23.893888888889,120.6775,22.616666666667,120.28722222222,23.894166666667,120.67638888889,22.616944444444,120.28638888889,23.894722222222,120.67666666667,23.893055555556,120.67916666667,23.895277777778,120.67777777778,22.618333333333,120.28444444444,23.892777777778,120.67861111111,23.8925,120.67611111111,23.895,120.67611111111,23.894166666667,120.67583333333,22.616388888889,120.28805555556,23.892777777778,120.68,23.894166666667,120.67472222222,23.893055555556,120.67972222222,23.892777777778,120.675,23.893055555556,120.67861111111,22.616666666667,120.28694444444,23.892222222222,120.68111111111,23.894722222222,120.67611111111,23.895555555556,120.67777777778,23.892777777778,120.68138888889,23.8925,120.67944444444,22.616944444444,120.28666666667,23.892777777778,120.67638888889,23.8925,120.68027777778,23.894722222222,120.67638888889,23.894166666667,120.675,23.893611111111,120.67583333333,23.893611111111,120.67777777778,23.894166666667,120.67833333333,23.895,120.6775,23.8925,120.67555555556,23.894722222222,120.67833333333,22.617777777778,120.28527777778,22.616111111111,120.28861111111,23.893333333333,120.67527777778,23.895555555556,120.67888888889,23.893333333333,120.67777777778,23.892222222222,120.67472222222,23.894444444444,120.67583333333,23.893333333333,120.67555555556,23.893333333333,120.6775),23.894166666667,120.67527777778,23.8925,120.68166666667,23.892777777778,120.67972222222,23.894722222222,120.67527777778,23.8925,120.68111111111,23.894166666667,120.67416666667,23.893333333333,120.67888888889,23.892777777778,120.68055555556,23.894166666667,120.67805555556,23.892777777778,120.67555555556,23.895,120.67722222222,23.895555555556,120.67694444444,23.892222222222,120.68083333333,23.893333333333,120.67611111111,23.892222222222,120.67555555556,22.617222222222,120.28583333333,23.892777777778,120.67888888889,23.892777777778,120.67777777778,23.894444444444,120.67888888889,23.892777777778,120.68027777778,23.893611111111,120.67638888889,23.895555555556,120.67861111111,23.8925,120.68083333333,23.893055555556,120.68166666667,23.894444444444,120.67555555556,23.893611111111,120.67805555556,23.8925,120.675,23.895277777778,120.67694444444,23.893611111111,120.6775,23.894722222222,120.67861111111,23.894722222222,120.67555555556,23.895277777778,120.67666666667,23.893055555556,120.67694444444,23.894444444444,120.67444444444,23.892777777778,120.68166666667,23.893055555556,120.67944444444,23.893055555556,120.67638888889,23.894444444444,120.67833333333,23.892777777778,120.67583333333,22.616944444444,120.28694444444,23.895,120.67694444444,23.892222222222,120.67527777778",南投縣
10021,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,24.17303276062,120.67823791504,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
100223,"23.893333333333,120.68194444444,23.896666666667,120.68305555556,23.902777777778,120.68527777778,23.903611111111,120.68583333333,23.905,120.68472222222,23.894722222222,120.6825,23.904444444444,120.68416666667,23.8925,120.68166666667,23.899166666667,120.68388888889,23.901666666667,120.68472222222),23.896388888889,120.68305555556,23.898333333333,120.68361111111,23.8975,120.68333333333,23.901388888889,120.68444444444,23.900277777778,120.68416666667,23.901388888889,120.68472222222,23.903055555556,120.68555555556,(23.905,120.685,23.899444444444,120.68388888889,23.9025,120.68527777778,23.900555555556,120.68444444444,23.903055555556,120.68527777778,23.895555555556,120.68277777778,23.901944444444,120.68472222222,23.894444444444,120.68222222222,23.898888888889,120.68361111111,23.898055555556,120.68333333333,23.905,120.68527777778,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.903888888889,120.68583333333,23.893888888889,120.68222222222,23.895,120.6825,23.898611111111,120.68361111111,23.904722222222,120.68416666667,23.902222222222,120.685,23.893888888889,120.68194444444,23.893611111111,120.68194444444,23.904722222222,120.68527777778,23.896111111111,120.68277777778,23.892777777778,120.68166666667,23.898055555556,120.68361111111,23.904166666667,120.68555555556,23.904722222222,120.68472222222,23.895277777778,120.6825,23.903333333333,120.68555555556,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.9025,120.685,23.901111111111,120.68444444444,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.904722222222,120.68444444444,23.903888888889,120.68555555556,23.897222222222,120.68333333333,23.897222222222,120.68305555556,23.896944444444,120.68305555556,23.903611111111,120.68555555556,23.894166666667,120.68222222222,23.904444444444,120.68555555556,23.900833333333,120.68444444444",南投縣
100229,"(24.172946929932,120.67825317383)",台中市
100239,"23.893333333333,120.68194444444,23.896666666667,120.68305555556,23.902777777778,120.68527777778,23.903611111111,120.68583333333,23.905,120.68472222222,23.894722222222,120.6825,23.904444444444,120.68416666667,23.8925,120.68166666667,23.899166666667,120.68388888889,23.901666666667,120.68472222222),23.896388888889,120.68305555556,23.898333333333,120.68361111111,23.8975,120.68333333333,23.901388888889,120.68444444444,23.900277777778,120.68416666667,23.901388888889,120.68472222222,23.903055555556,120.68555555556,(23.905,120.685,23.899444444444,120.68388888889,23.9025,120.68527777778,23.900555555556,120.68444444444,23.903055555556,120.68527777778,23.895555555556,120.68277777778,23.901944444444,120.68472222222,23.894444444444,120.68222222222,23.898888888889,120.68361111111,23.898055555556,120.68333333333,23.905,120.68527777778,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.903888888889,120.68583333333,23.893888888889,120.68222222222,23.895,120.6825,23.898611111111,120.68361111111,23.904722222222,120.68416666667,23.902222222222,120.685,23.893888888889,120.68194444444,23.893611111111,120.68194444444,23.904722222222,120.68527777778,23.896111111111,120.68277777778,23.892777777778,120.68166666667,23.898055555556,120.68361111111,23.904166666667,120.68555555556,23.904722222222,120.68472222222,23.895277777778,120.6825,23.903333333333,120.68555555556,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.9025,120.685,23.901111111111,120.68444444444,23.899722222222,120.68388888889,23.897777777778,120.68333333333,24.17303276062,120.67823791504,23.904722222222,120.68444444444,23.897222222222,120.68333333333,23.903888888889,120.68555555556,23.897222222222,120.68305555556,23.896944444444,120.68305555556,23.903611111111,120.68555555556,23.894166666667,120.68222222222,23.904444444444,120.68555555556,23.900833333333,120.68444444444",南投縣
10025,"(24.173034667969,120.67824554443)",台中市
100255,"(23.888888888889,120.70916666667)",南投縣
100268,"(23.888888888889,120.70916666667)",南投縣
